id,snippet,contentDetails
"{'kind': 'youtube#video', 'videoId': 'hlGoQC332VM'}","{'publishedAt': '2023-08-18T17:38:13Z', 'channelId': 'UCBwmMxybNva6P_5VmxjzwqA', 'title': 'SQL - Complete Course in 3 Hours | SQL One Shot using MySQL', 'description': 'You can join the NEW Web Development batch using the below link. Delta 3.0(Full Stack Web Development) ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hlGoQC332VM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hlGoQC332VM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hlGoQC332VM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Apna College', 'liveBroadcastContent': 'none', 'publishTime': '2023-08-18T17:38:13Z'}","{'duration': 'PT3H16M14S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '_cnyV2EpL38'}","{'publishedAt': '2023-08-17T00:08:10Z', 'channelId': 'UCDzl6EAAz1ZCnzPY8YaynUg', 'title': 'mysql tutorial for beginners | SQL Tutorial basic to advanced |  Dear computer', 'description': 'title - sql tutorial for beginners #MySQLtutorial #LearnMySQL #MySQLcourse #MySQLdatabase #SQLqueries #DatabaseTutorial ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_cnyV2EpL38/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_cnyV2EpL38/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_cnyV2EpL38/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dear computer', 'liveBroadcastContent': 'none', 'publishTime': '2023-08-17T00:08:10Z'}","{'duration': 'PT7H59M52S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '_BvLk3J8nkY'}","{'publishedAt': '2023-08-03T16:30:07Z', 'channelId': 'UCsvqVGtbbyHaMoevxPAq9Fg', 'title': '🔥 Advanced SQL Tutorial 2023 | SQL Training | SQL Database Tutorial  | Simplilearn', 'description': 'Post Graduate Program In Data Analytics: ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_BvLk3J8nkY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_BvLk3J8nkY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_BvLk3J8nkY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Simplilearn', 'liveBroadcastContent': 'none', 'publishTime': '2023-08-03T16:30:07Z'}","{'duration': 'PT9H30M56S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'Qr1Go2gP8fo'}","{'publishedAt': '2023-05-17T17:00:10Z', 'channelId': 'UCQf9BYcqr8pzKrY14ZyMsbg', 'title': 'Walmart Sales Data Analysis With MySQL | MySQL Protfolio Project', 'description': 'Welcome to our YouTube video on the Walmart sales data analysis project with MySQL! In this tutorial, we dive into the world of ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Qr1Go2gP8fo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Qr1Go2gP8fo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Qr1Go2gP8fo/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Code With Prince', 'liveBroadcastContent': 'none', 'publishTime': '2023-05-17T17:00:10Z'}","{'duration': 'PT1H1M50S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'eYQg3DqGSO4'}","{'publishedAt': '2023-03-14T10:05:06Z', 'channelId': 'UC85Q2ddKOllR2H1gaW6dJ0g', 'title': '7 Essential MySQL Interview Questions Every Intermediate Developer Should Know', 'description': ""Preparing for a MySQL interview as an intermediate developer? We've got you covered! In this video, we've compiled a list of ..."", 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/eYQg3DqGSO4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eYQg3DqGSO4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eYQg3DqGSO4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': ""Rodrick's Database Development Hub"", 'liveBroadcastContent': 'none', 'publishTime': '2023-03-14T10:05:06Z'}","{'duration': 'PT5M14S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'SycDH3NSJUU'}","{'publishedAt': '2023-03-01T06:30:06Z', 'channelId': 'UCsvqVGtbbyHaMoevxPAq9Fg', 'title': 'MySQL Full Course 2023 | MySQL Tutorial For Beginners | SQL Full Course | SQL Training | Simplilearn', 'description': 'SQL Certification Course ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/SycDH3NSJUU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SycDH3NSJUU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SycDH3NSJUU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Simplilearn', 'liveBroadcastContent': 'none', 'publishTime': '2023-03-01T06:30:06Z'}","{'duration': 'PT9H52M57S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '5OdVJbNCSso'}","{'publishedAt': '2023-01-02T15:00:02Z', 'channelId': 'UC4SVo0Ue36XCfOyb5Lh1viQ', 'title': 'MySQL Full Course for free 🐬 (2023)', 'description': 'MySQL #SQL #tutorial MySQL SQL tutorial for beginners ⭐ TIME STAMPS ⭐ #1 00:00:00 MySQL intro + installation 00:02:22 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/5OdVJbNCSso/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5OdVJbNCSso/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5OdVJbNCSso/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Bro Code', 'liveBroadcastContent': 'none', 'publishTime': '2023-01-02T15:00:02Z'}","{'duration': 'PT3H', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'a-hFbr-4VQQ'}","{'publishedAt': '2022-12-28T13:00:10Z', 'channelId': 'UCnz-ZXXER4jOvuED5trXfEA', 'title': 'How to learn SQL for free | Roadmap to learning SQL', 'description': 'In this video, you will find complete roadmap on how to learn SQL for Beginners, Intermediate level, Advanced level and for ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/a-hFbr-4VQQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/a-hFbr-4VQQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/a-hFbr-4VQQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'techTFQ', 'liveBroadcastContent': 'none', 'publishTime': '2022-12-28T13:00:10Z'}","{'duration': 'PT27M20S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': 'aZnwpMON0NA'}","{'publishedAt': '2022-12-18T08:33:13Z', 'channelId': 'UCEXwc6mNh7Lakj6lX-7a2Mg', 'title': 'Bangla MySQL database &amp; SQL tutorial for beginner to Intermediate 2023', 'description': 'In this video, I will start from the basics of MySQL and take you to the intermediate level with theoretical and practical explanations.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/aZnwpMON0NA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aZnwpMON0NA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aZnwpMON0NA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Anisul Islam', 'liveBroadcastContent': 'none', 'publishTime': '2022-12-18T08:33:13Z'}","{'duration': 'PT4H17M12S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': True, 'contentRating': {}, 'projection': 'rectangular'}"
"{'kind': 'youtube#video', 'videoId': '4qK11Bp-ZDA'}","{'publishedAt': '2022-12-11T12:54:43Z', 'channelId': 'UCieJrEUHCLZ8cfgDhezY08Q', 'title': 'Advanced MySQL Topics FULL COURSE || SQL Advanced Tutorial | Advanced SQL Tutorial | Course 4', 'description': 'This course is part of the Meta Database Engineer Professional Certificate Course No 4 Out of 9    Advanced MySQL Topics     ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4qK11Bp-ZDA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4qK11Bp-ZDA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4qK11Bp-ZDA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Self Taught Courses', 'liveBroadcastContent': 'none', 'publishTime': '2022-12-11T12:54:43Z'}","{'duration': 'PT1H45M45S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}"
